D=0.0 (mm/w),D=0.1 (mm/w),D=0.2 (mm/w),D=0.3 (mm/w),D=0.4 (mm/w)
400.0,400.0,400.0,400.0,400.0
400.0,400.0,400.0,400.0,400.0
400.2011240307508,400.2011240307508,400.2011240307508,400.2011240307508,400.20112403075075
401.4926456967525,401.4922434486909,401.49184120062944,401.49143895256793,401.4910367045064
403.7756870673833,403.77230511058167,403.7689263717645,403.7655508509319,403.7621785480837
406.965983547846,406.95508936874086,406.9442253938438,406.93339156523103,406.9225878249789
410.996074428441,410.9713513100012,410.9467449615833,410.922254783178,410.89788017632054
415.81189278643393,415.7653628737462,415.7191454732185,415.67323789827736,415.6276374798458
421.3698478907912,421.2919584284846,421.21474881887593,421.1382108137856,421.06233625365326
427.63464272931697,427.51432414582007,427.3952990239301,427.2775470594969,427.16104825446183
434.5776484944963,434.40235068188485,434.22929283192406,434.0584317727125,433.88972517180235
442.1756749668237,441.9313864155655,441.69071571626375,441.4535801957837,441.2198991507621
450.4100235769721,450.0812768365729,449.7580676747628,449.44024975031925,449.1276808499951
459.2657460055541,458.8356120976018,458.4135999399169,457.9994658995536,457.59297428200836
468.7310552548782,468.1811290536866,467.64270828953727,467.1154068155125,466.59885275270005
478.7968519812293,478.10723012632576,477.43344482408673,476.7749082240888,476.13105675650706
489.4563394525045,488.6055920185274,487.77612088295285,486.967060729792,486.1775857408681
500.7047076938131,499.6698445847418,498.66298113347744,497.6828793713456,496.7283631953132
512.5388723862061,511.2953052201759,510.08793398789686,508.91503034448766,507.77495977281916
524.9572576309133,523.4787577237773,522.046327137905,520.65760351,519.3103628823475
537.9596142534662,536.2182671828082,534.5347596235425,532.9059219671684,531.3287838908029
551.5468672035475,549.5130243321275,547.5509237834515,545.6563819298083,543.8254960576949
565.720987008953,563.3632142617921,561.0934718731245,558.9063176018645,556.7966978071777
580.4848813016946,577.7699054198899,575.161903225728,572.6538868531718,570.2393970623352
595.8423032445887,592.7349556782683,589.7564686621183,586.8979743401258,584.1513132236903
611.7977743130534,608.2609328632055,604.8780894998285,601.6381093686666,598.5307940367443
628.356519375822,624.3510476481993,620.5282890127727,616.8743963064186,613.3767451108563
645.524412403384,641.0090970958585,636.7091345885966,632.6074557519516,628.6885702593331
663.3079314387118,658.2394174452421,653.4231891441889,648.8383749874598,644.4661211541132
681.7141217093657,676.0468449882551,670.6734706104838,665.5686664955938,660.709655047081
700.7505659569626,694.4366840776808,688.4634184993109,682.8002335259112,677.4197995182202
720.425361219531,713.4146814704924,706.796866728231,700.5353418621345,694.5975233793858
740.747101432295,732.9870063412225,725.6780220121317,718.7765970763321,712.2441129997718
761.7248653189922,753.1602354075055,745.1114472390517,737.5269266665777,730.3611534315776
783.3682091336385,773.9413426982252,765.1020493371099,756.7895665655094,748.9505138069313
805.6871638854064,795.3376935677271,785.6550712133279,776.5680515823552,768.0143365537008
828.692236739889,817.3570426202702,806.7760874065445,796.8662094034418,787.5550300415086
852.394416340818,840.0075352596199,828.4710031479061,817.6881578283828,807.575264322502
876.8051818391408,863.2977126213304,850.7460565654935,839.0383049629745,828.0779696761643
901.9365154527568,887.2365196813347,873.6078238060331,860.9213521268499,849.0663377052692
927.8009184113782,911.833316365185,897.0632268775876,883.3422992654329,870.5438247622247
954.4114301679286,937.097891508682,921.1195440436336,906.30645268268,892.5141575125717
981.7816507814384,963.0404795434972,945.7844226218424,929.8194349343546,914.9813404661143
1009.9257663972288,989.6717798014408,971.065894060848,953.8871967418058,937.9496653267621
1038.8585777688652,1017.0029783487782,996.9723911858948,978.5160308039945,961.4237220302106
1068.5955317833698,1045.045772277961,1023.5127675199452,1003.7125874012708,985.4084113545343
1099.1527559669469,1073.812396398671,1050.6963186009907,1029.4838916985566,1009.9089590030129
1130.5470959632892,1103.3156522835163,1078.5328052292728,1055.8373626684122,1034.9309310713443
1162.7961559907328,1133.5689396363643,1107.0324785901305,1082.780833566267,1060.4802508231044
1195.9183422983367,1164.5862899633155,1136.2061072094912,1110.322573901051,1086.5632167080907
1229.9329096546026,1196.3824025380184,1166.0650057097946,1138.4713128547842,1113.186521568218
1264.8600109162203,1228.972682664441,1196.6210653445212,1167.2362641144975,1140.357272985075
1300.7207497380714,1262.3732822516113,1227.8867862996638,1196.6271520893208,1168.0830147322163
1337.5372364999052,1296.6011427262442,1259.8753117604924,1226.654239494753,1196.371749303858
1375.332647539763,1331.6740403207675,1292.6004637519577,1257.328356295156,1225.231961499958
1414.1312877994412,1367.6106337860913,1326.076780771112,1288.6609300044177,1254.6726430557626
1453.9586570032254,1404.4305145906287,1360.3195572400784,1320.6640173536175,1284.703318311845
1494.8415195078333,1442.1542596796664,1395.3448848184298,1353.3503373434182,1315.334070928508
1536.807977979116,1480.803486882224,1431.169695624395,1386.733305707864,1346.5755716562096
1579.887551069652,1520.4009130661416,1467.811807425148,1420.8270708253283,1378.4391071814273
1624.1112552910213,1560.970415156317,1505.2899708675918,1455.646551121556,1410.9366100751565
1669.511691295358,1602.537094145846,1543.623918832562,1491.2074740191044,1444.0806898790447
1716.1231348028402,1645.127342245367,1582.8344180072943,1527.5264164970763,1477.8846653720382
1763.9816324351589,1688.7689133321906,1622.9433227833465,1564.6208473348224,1512.3625980683794
1813.125102739832,1733.490996877924,1663.9736315999835,1602.509171123355,1547.529327005868
1863.5934427165591,1779.3242955512462,1705.9495458663775,1641.210774138567,1583.400504891503
1915.428640184792,1826.301106711412,1748.8965316098331,1680.7460721809955,1619.9926356799845
1968.6748923613443,1874.455408027925,1792.841384011735,1721.1365604978726,1657.3231136690952
2023.3787310484377,1923.82294748276,1837.8122950080008,1762.4048659145992,1695.4102642047253
2079.5891548659965,1974.4413380335584,1883.8389241466043,1804.5748013145376,1734.273386097273
2137.3577689975964,2026.350157239448,1930.9524729112209,1847.671422618267,1773.9327958603794
2196.7389329571856,2079.591052175644,1979.185762737351,1891.721088426147,1814.4098738924642
2257.789916923789,2134.207849988813,2028.573316965359,1936.751522501271,1855.7271127313506
2320.571067233961,2190.246674472479,2079.151446993885,1982.791879283684,1897.9081675224318
2385.1459816669185,2247.7560690704936,2130.9583429170457,2029.872812641158,1940.9779088513797
2451.581695205236,2306.787126747055,2184.034168949815,2078.026548076884,1984.962478103359
2519.948877004837,2367.393627193812,2238.4211639680566,2127.286958630232,2029.8893455221273
2590.322039361962,2429.632181878559,2294.163747512922,2177.6896447232843,2075.7873711543157
2662.7797595219545,2493.562387475848,2351.3086316338104,2229.272018223233,2122.686868876643
2737.4049152352395,2559.2469882577016,2409.904938969913,2282.073391009018,2170.6196737168543
2814.284935029938,2626.7520480626163,2470.0043274975683,2336.135068349797,2219.6192126928468
2893.51206423825,2696.147132503228,2531.6611223993887,2391.5004474231014,2269.7205794088068
2975.183647885205,2767.5055021175845,2594.9324555413864,2448.215121321863,2320.96061266227
3059.402431623682,2840.904317215899,2659.8784130763,2506.326988921994,2373.3779793318886
3146.2768819787966,2916.424855224138,2726.562191724995,2565.886371005915,2427.0132618324174
3235.921527247879,2994.152741377809,2795.0502643233485,2626.9461330624467,2481.909050441025
3328.457320489229,3074.1781936739703,2865.4125552594046,2689.561815209855,2538.1100408176117
3424.0120261235907,3156.59628304676,2937.7226264649853,2753.791769716637,2595.663137061365
3522.7206317665705,3241.507209791668,3012.05787466729,2819.697306623943,2654.617560666407
3624.7257870077983,3329.016597326304,3088.499740649448,2887.342848004352,2715.0249657611103
3730.1782709529816,3419.2358044403823,3167.1339313144795,2956.796091424163,2776.9395610385336
3839.237490447643,3512.282257255032,3248.0506553946548,3028.128183210426,2840.4182388095032
3952.072011005368,3608.279802180976,3331.3448736978257,3101.4139021596384,2905.5207116351767
4068.8601225678985,3707.359081236372,3417.1165648338056,3176.731854362444,2972.309657022494
4189.790442328032,3809.657931157716,3505.471007417229,3254.164679857676,3040.850870693778
4315.062556947441,3915.321807810617,3596.5190797983096,3333.7992718697315,3111.2134289708947
4444.887706598201,4024.504237480772,3690.377578429312,3415.727009425471,3183.469860844811
4579.489513346428,4137.367296698145,3787.1695560320286,3500.0440041904035,3257.6963303330767
4719.104756476175,4254.082122318117,3887.024680789683,3586.8513624088478,3333.972829760651
4863.984197417593,4374.829453650854,3990.079617844904,3676.255462878674,3412.3833846335197
5014.393456991264,4499.800208492566,4096.478434443103,3768.3682519379913,3493.0162708095845
5170.613947704927,4629.196094967815,4206.373030116814,3863.307556488264,3575.9642447072315
5332.943863833403,4763.230261137897,4319.923593360402,3961.197416125512,3661.3247873285522
5501.699231969726,4902.127984363851,4437.299086294588,4062.168435497753,3749.200362911203
5677.215024646441,5046.127402430142,4558.6777588651685,4166.358158052115,3839.6986930599705
5859.846339480289,5195.480288432427,4684.247694158042,4273.911462378134,3932.9330472459123
6049.969646078695,5350.452871405122,4814.20738644123,4384.98098239374,4029.02255059692
6247.984102648467,5511.326704605867,4948.766353561219,4499.727552655923,4128.092509938159
6454.312943849173,5678.399583277772,5088.145785322678,4618.320680107766,4230.274759073308
6669.404940916744,5851.986513568425,5232.579229463689,4740.939043595482,4335.708024326998
6893.735934424977,6032.420734088042,5382.313316798896,4867.771022501362,4444.538311394306
7127.810439228684,6220.054791327019,5537.608527035317,4999.015255838519,4556.919314563286
7372.163320113854,6415.2616698134125,5698.7399966642615,5134.881233138212,4673.012849389998
7627.361535435341,6618.435977459388,5865.998370191028,5275.589918426856,4792.989309910384
7894.00594451546,6829.995186006532,6039.69069577403,5421.374408533671,4917.0281514678245
8172.733172767866,7050.380925814925,6220.141366097813,5572.480626886662,5045.318400216791
8464.21752635673,7280.060333429652,6407.693104989676,5729.168053838876,5178.059190328926
8769.172945654605,7519.527449378136,6602.707999895695,5891.710494412633,5315.460329875037
9088.35498377315,7769.304662476891,6805.56857984552,6060.396884149445,5457.742896281055
9422.562792956734,8029.944195529132,7016.678937941354,6235.532133499729,5605.139862153801
9772.641097596055,8302.02962564465,7236.465896688303,6417.438010869851,5757.896752138499
10139.482127984016,8586.177430477685,7465.380213621958,6606.454064054268,5916.272331298796
10524.027483648882,8883.038549422368,7703.897823664046,6802.938579305701,6080.539325295199
10927.269889115489,9193.299946192425,7952.521113425469,7007.269576723325,6250.985172372156
11350.25479822932,9517.686156204976,8211.780221253553,7219.845839953346,6427.912806839288
11794.081795710665,9856.960798751272,8482.234355160357,7441.0879773817105,6611.641473339414
12259.905736387947,10211.928030034642,8764.473118843665,7671.439511037594,6802.5075707248025
12748.937553620504,10583.433908757885,9059.117833792923,7911.367988299278,7000.865523802194
13262.44465882831,10972.367641023517,9366.822842929543,8161.3661101805565,7207.08868054408
13801.75084391443,11379.662665856806,9688.276778335903,8421.952868453858,7421.570231584889
14368.235587868316,11806.297536671636,10024.203772353185,8693.674682113151,7644.724147911331
14963.332658219171,12253.296547490814,10375.364587650753,8977.106521671847,7876.986131600289
15588.527887596452,12721.730045746248,10742.55763777125,9272.853007505311,8118.814573238684
16245.355995872937,13212.714366092589,11126.619865124796,9581.549465861815,8370.691508260039
16935.396319744512,13727.411311979622,11528.427438443612,9903.86292325968,8633.123562834313
17660.26730478353,14267.02710389913,11948.896226329454,10240.493016745202,8906.642878133085
18421.61961074854,14832.810705459788,12388.981997764917,10592.17279389424,9191.807999744215
19221.1276801136,15426.051431019936,12849.680294373473,10959.669372495966,9489.204716713051
20060.47962336206,16048.07573186301,13332.025912889729,11343.784425566262,9799.446832127791
20941.36528361046,16700.243052249938,13837.091929863822,11745.354452719606,10123.176844335218
21865.462358652625,17383.940642621623,14365.98819423696,12165.250794017917,10461.066514765498
22834.42048157707,18100.577215326084,14919.859207302485,12604.379337269364,10813.817294963701
23849.84319264033,18851.575329154763,15499.881303975511,13063.679864451604,11182.160581783457
24913.26777580341,19638.36239339712,16107.25904456097,13544.124977594236,11566.857765818546
26026.14298368117,20462.36019080644,16743.220722722795,14046.718539221887,11968.700034069878
27189.80473461912,21324.972832565072,17409.012893566905,14572.493557519125,12388.507883625109
28405.449934670585,22227.57307776034,18105.89382616652,15122.509441962888,12827.130298843918
29674.108654242133,23171.48697566237,18835.12578803947,15697.848551556352,13285.443540297276
30996.61497224944,24157.97682170501,19597.96607562802,16299.611955318487,13764.349489635553
32373.576887196472,25188.222457760923,20395.656715338915,16928.914323713674,14264.77349082256
33805.345781382435,26263.300994017067,21229.412774765005,17586.877870668264,14787.661624969443
35291.98600758628,27384.165083064647,22100.409243861548,18274.62526917652,15333.977353570552
36833.245242793295,28551.61993584245,23009.76647151793,18993.27146973205,15904.697463556484
38428.52631635004,29766.299332447263,23958.53417441708,19743.914360425064,16500.807247548273
40076.86126601375,31028.64094667378,24947.674072358128,20527.62422099326,17123.294854363565
41776.888400774864,32338.861369103022,25978.04124710313,21345.43194082892,17773.144748558952
43526.83315087263,33696.93127683152,27050.36436972661,22198.315993260778,18451.330223974725
45324.49346086211,35102.551255417515,28165.22499345284,23087.18818554992,19158.80492526039
47167.23042982642,36555.12882705357,29323.03616370209,24012.87823598656,19896.49334356115
49051.9648239636,38053.757275131065,30524.020652771946,24976.117266045607,20665.280268250022
50975.17998207623,39597.196876266265,31768.18918111048,25977.52033627529,21465.99919603317
52932.93150625983,41183.859153999074,33055.31903804558,27017.568198670007,22299.4197220626
54920.86398150921,42811.79475189624,34384.93355945979,28096.58848459769,23166.23396483828
