D=0.0 (mm^2/w),D=0.1 (mm^2/w),D=0.2 (mm^2/w),D=0.3 (mm^2/w),D=0.4 (mm^2/w),D=0.5 (mm^2/w),D=0.6 (mm^2/w),D=0.7 (mm^2/w),D=0.8 (mm^2/w),D=0.9 (mm^2/w),D=1.0 (mm^2/w)
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766,400.05028100768766
400.3758334233771,400.3757831423695,400.37573286136177,400.37568258035407,400.3756322993464,400.3755820183387,400.375531737331,400.3754814563233,400.3754311753156,400.375380894308,400.37533061330026
400.9690551091783,400.9686294132137,400.9682039183732,400.9677786246566,400.96735353206407,400.96692864059565,400.9665039502512,400.96607946103074,400.9656551729343,400.9652310859621,400.9648072001137
401.81796092044846,401.81656943681577,401.8151798545415,401.8137921718157,401.8124063868282,401.8110224977689,401.8096405028276,401.80826040019423,401.8068821880588,401.8055058646111,401.8041314280409
402.9108682908739,402.9076686653642,402.90447648422366,402.9012917285593,402.8981143795018,402.8949444182063,402.8917818258517,402.88862658364144,402.8854786728029,402.88233807458766,402.8792047702712
404.2371201191028,404.23103030827207,404.2249606549692,404.2189110735939,404.21288147882143,404.20687178560206,404.20088190916096,404.1949117649976,404.1889612688855,404.1830303368717,404.1771188852762
405.7871512750346,405.77686025408406,405.7666135302544,405.7564108378029,405.7462519123986,405.7361364911176,405.7260643124376,405.7160351162334,405.7060486437712,405.6961046377041,405.68620284206656
407.55240945452334,407.5363863647175,407.5204482775349,407.5045945323736,407.48882447356186,407.4731374503297,407.45753281678014,407.44200993186047,407.4265681593332,407.4112068677479,407.39592543041255
409.5252477789673,409.5017496688224,409.4783998181077,409.4551968103358,409.4321392426744,409.409225725835,409.38645488396094,409.3638253545172,409.3413357881795,409.3189848487252,409.2967712129246
411.6988205062112,411.6658988357541,411.63321803431006,411.6007753699408,411.5685681430268,411.5365936859258,411.5048493626333,411.4733325684469,411.44204072963225,411.41097130309305,411.38012177604367
414.0669899033127,414.0224959668489,413.9783724558728,413.9346145057278,413.89121731999046,413.84817616958514,413.8054863919088,413.7631433899662,413.7211426315138,413.6794796482137,413.6381500347976
416.62424534529407,416.56583474827926,416.50796944896376,416.45064130910896,416.39384232252206,416.3375646130272,416.2818004324644,416.2265421587173,416.1717822937658,416.1175134617675,416.0637284071644
419.3656336218562,419.29076992820313,419.2166808506153,419.143353440322,419.0707749871366,418.9989330152192,418.92781527890895,418.8574097586247,418.7877046568304,418.7186883940683,418.65034960505596
422.2866989411403,422.1926565903573,422.0996825030992,422.0077569080335,421.9168604416028,421.8269741398059,421.73807943013486,421.6501581236631,421.5631924072811,421.4771648360797,421.39205832587703
425.383431146812,425.2672977259677,425.1526011751792,425.0393123279908,424.9274026835965,424.81684439183147,424.70761023848286,424.599673630915,424.4930085839984,424.3875897063417,424.2833921868182
428.65222084516927,428.5108987885809,428.371468542288,428.2338883197151,428.0981173797158,427.96411600050106,427.831845454188,427.70126798195554,427.5723467697907,427.4450459248164,427.31933045218517
432.08982034462935,431.9200281240378,431.7526811073201,431.5877209119761,431.42509074419297,431.2647353554303,431.1066010001471,430.95063539464303,430.7967876769825,430.6450083679795,430.4952493332143
435.6933094984038,435.49158235788406,435.29296513549366,435.0973780213002,434.90474355197057,434.7149865410477,434.5280340112342,434.34381512863047,434.16226113887103,433.98330530510856,433.8068828477958
439.4600657012951,439.2227559839856,438.9893458395952,438.75972823206257,438.53379950659865,438.31145928116746,438.09261034136273,437.8771585385818,437.6650126913939,437.45608449001,437.25028840376086
443.3877374234018,443.111014531066,442.8391201860121,442.5719132419957,442.3092573199291,442.05102064354855,441.79707588063593,441.5472999896155,441.3015740713489,441.05978322596025,440.8218164145274
447.4742207706856,447.15407079196086,446.8398328009794,446.53132344694166,446.2283659715959,445.9307899663349,445.6384311381073,445.3511310838391,445.068737073061,444.7911018384568,444.51808337405186
451.717638649098,451.3498636878781,450.9892545447386,450.6355762277613,450.2886027062002,449.9481165590769,449.61390863740377,449.2857777395267,448.96353029908687,448.64698008512886,448.3359479138945
456.1163221792073,455.696539410818,455.2853633928222,454.8824965745032,454.4876533990088,454.1005598046629,453.720952746855,453.34857973968894,452.9831984165842,452.6245761090723,452.27248944305006
460.66879406531547,460.19243454488026,459.7263273217875,459.270099741606,458.8233949802397,458.38587134836393,457.9572016262919,457.5370724279729,457.1251835928685,456.72124760451305,456.3249890346104
465.37375366958526,464.83606091414674,464.3104889441453,463.79657567580784,463.2938796563938,462.8019791091016,462.3204710221226,461.8489702798455,461.3871088342885,460.9345349149334,460.49091227521177
470.2300635798401,469.6260919433424,469.0363516761181,468.46027499772015,467.8973207068035,467.3469728881912,466.8087396828971,466.2821521180928,465.7667629941334,465.26214582590666,464.767893835889
475.2367374911243,474.56135034921033,473.9025672539261,473.2596963504285,472.6320796663161,472.019091383938,471.4201362010817,470.834647775587,470.262087249635,469.7019418496853,469.1537235582266
480.3929292471474,479.64079700683766,478.9079244408732,478.1934749553432,477.4966547322033,476.8167104479456,476.15292711457846,475.5046260364342,474.8711628766495,474.251925827492,473.64633387900733
485.6979229094188,484.8635208570759,484.051338789644,483.2603722379106,482.4896702560235,481.7383324419059,481.0055061247209,480.2903837101088,479.5922001744133,478.91023069960255,478.2437884410428
491.15112374002655,490.22872973953935,489.33184334277206,488.4592664045476,487.60986720014506,486.7825765728526,485.9763843069296,485.1903357128892,484.42352841274175,483.6751093135649,482.94427175842316
496.75204999928405,495.735742051101,494.7485801698385,493.7891438679546,492.85609445461466,491.9481701010347,491.0641812065983,490.20300604751736,489.3635866908824,488.544925157986,487.7460798217651
502.5003254723733,501.3839791428503,500.3007926531629,499.2490914313105,498.2273009235727,497.2339403282597,496.26761672665407,495.327019586069,494.4109156114952,493.5181439237895,492.6476115437324
508.3956726500722,507.1729583795614,505.9878184449559,504.838289153202,503.7225283019067,502.6388072861915,501.5855037250318,500.5610945729809,499.56414968537024,498.5933258071683,497.64736095761435
514.4379064980001,513.1022867951698,511.8090830284661,510.5560038248199,509.34090447263793,508.1617770540261,507.01674125037306,505.9040357753997,504.8220103928596,503.76911847898094,502.74391009243976
520.6269287568138,519.1716552858496,517.7640938238458,516.4015829992474,515.0816374639371,513.8019356434814,512.5603083528968,511.3547282167774,510.1832998368943,509.0442506543741,507.93592245728354
526.9627227226719,525.3808332892443,523.8524347865032,522.3744495197994,520.9440099118946,519.558443396365,518.215258414819,516.9121314371782,515.6468949301135,514.4175262041903,513.2221370753268
533.4453484632138,531.7296639044051,530.0737614517874,528.4740965005293,526.9273739814073,525.430529846309,523.9807139511186,522.5752742302792,521.2117420652487,519.8878187564432,518.601363015066
540.0749384294435,538.2180594121962,536.427796385116,534.7000827173492,533.0311467029513,531.4174890017463,529.855861837006,528.3432498126924,526.876852223645,525.454066741974,524.0724743719935
546.8516934283698,544.8459971604357,542.9143250012303,541.0520283728479,539.2548056877058,537.518675011962,535.8399489232925,534.215211386148,532.6412964817869,531.1152688434712,529.6344056592314
553.7758789251465,551.6135157819849,549.5331917202465,547.5296112019253,545.5978851875904,543.7334981822153,541.9322780050693,540.1903680573618,538.5042018800531,536.8704798114646,535.2861475700988
560.8478216468545,558.5207117174346,556.2842964316586,554.1325628888966,552.0599724703571,550.0614213075538,548.1322041128021,546.2679810841586,544.4647476217315,542.7188066147754,541.0267430795349
568.0679064630507,565.567736017053,563.1675912405009,560.860665769813,558.6407044830206,556.5019562981355,554.4391310981753,552.4473604197087,550.5221615736668,548.6594048963026,546.855283854756
575.4365735208238,572.7547913993131,570.1830774725606,567.7137497964663,565.3397647796644,563.0546610716684,560.8525084898702,558.7278615296283,556.6757170428552,554.6914757080169,552.7709069485676
582.9543156144107,580.0821295456484,577.3308029179012,574.6916897409441,572.156880692101,569.719136691052,567.3718285969676,565.1088824592405,562.9247298058888,560.8142625016685,558.7727917514337
590.6216757714598,587.5500486131508,584.6108592940391,581.7944026217152,579.0918207240046,576.4950247274825,573.9966238398813,571.5898611305518,569.2685553704464,567.0270483540459,564.8601571807801
598.4392450398354,595.1588909487492,592.0233799119698,589.0218453341065,586.1443921510415,583.3820048312181,580.7264642906928,578.1702728504873,575.7065864500568,573.3291534076888,571.0322590881069
606.4076604604597,602.9090409900257,599.568537529878,596.3740124696865,593.3144388112097,590.3797924939124,587.5609554064982,584.8496280137053,582.2382506351588,579.7199325097898,577.2883878663538
614.5276032131073,610.8009233392662,607.2465423808229,603.8509343105571,600.6018390710998,597.4881369879504,594.4997359409294,591.6274699848836,588.8630082450895,586.1987730336523,583.6278662416184
622.799796923342,618.8350009986258,615.0576403619905,611.4526749858662,608.0065039551251,604.706819469576,601.5424760203895,598.5033731467755,595.5803503470578,592.765092868522,590.0500472348119
631.2250061199125,627.0117737554306,623.002111374261,619.179330779031,615.5283754259633,612.035651233817,608.6888753727762,605.4769411015861,602.3897969294356,599.4183385649131,596.5543122801521
